,,Search Results (2016-03-14),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Tag Number,Product,Zone,Inbound Account,Inbound Load Date,Inbound Gross Weight,Inbound Tare,Inbound Net Weight,Inbound Price Per LB,Inbound Price,Inbound Unit Count,Inbound Price Per Unit,Outbound Account,Outbound Load Date,Outbound Gross Weight,Outbound Tare,Outbound Net Weight,Outbound Price Per LB,Outbound Price,Outbound Unit Count,Outbound Price Per Unit,Comments
,,,,,,,,,,,,,,,,,,,,,,
,10420160052,Steel,,PRC Industries,"January 04, 2016",394,35,359,0,0,,,Smart Metals Recycling,"January 04, 2016",394,35,359,,0,,,
,10420160054,Power Supplies (Industrial),,Salem Group,"January 04, 2016",928,35,893,0.22,196.46,,,Wai Mei Dat,"January 04, 2016",928,35,893,0.37,330.41,,,
,10420160053,Steel,,PRC Industries,"January 04, 2016",398,35,363,0,0,,,Smart Metals Recycling,"January 04, 2016",398,35,363,,0,,,
,10420160055,Irony Aluminum,,PRC Industries,"January 04, 2016",253,55,198,0.01,1.98,,,L. Gordon Iron & Metal,"January 04, 2016",253,55,198,0.18,35.64,,,
,10420160056,Fans,,Salem Group,"January 04, 2016",410,35,375,0.06,22.5,,,Falleno,"February 29, 2016",402,35,367,0.16,58.72,,,
,10420160057,Steel,,PRC Industries,"January 04, 2016",394,35,359,0,0,,,Smart Metals Recycling,"January 04, 2016",394,35,359,,0,,,
,10420160058,Steel,,PRC Industries,"January 04, 2016",274,55,219,0,0,,,Smart Metals Recycling,"January 04, 2016",274,55,219,,0,,,
,10420160059,Power Supplies (Industrial),,Salem Group,"January 04, 2016",979,50,929,0.22,204.38,,,Wai Mei Dat,"January 04, 2016",979,50,929,0.37,343.73,,,
,10420160060,Steel,,PRC Industries,"January 04, 2016",274,55,219,0,0,,,Smart Metals Recycling,"January 04, 2016",274,55,219,,0,,,
,10420160062,Irony Aluminum,,PRC Industries,"January 04, 2016",316,55,261,0.01,2.61,,,L. Gordon Iron & Metal,"January 04, 2016",316,55,261,0.18,46.98,,,
,10420160063,Irony Aluminum,,PRC Industries,"January 04, 2016",271,55,216,0.01,2.16,,,L. Gordon Iron & Metal,"January 04, 2016",271,55,216,0.18,38.88,,,
,10420160061,Plastic Tape Drives,,Salem Group,"January 04, 2016",351,35,316,0,0,,,,,351,35,316,,0,,,
,10420160064,Copper Wire (Fiber Optic),,Salem Group,"January 04, 2016",325,35,290,0,0,,,,,325,35,290,,0,,,
,10420160065,Fans,A,Salem Group,"January 04, 2016",719,65,654,0.06,39.24,,,Blue Sky Trading,"January 25, 2016",719,65,654,0.1,65.4,,,
